item,original_passage,reduced_passage,critical_q_knows,critical_q_understands,critical_q_recognizes,critical_q_assumes,critical_q_believes,critical_q_suspects,critical_q_thinks,critical_q_neutral,start,end,first_mention,recent_mention,information,knowledge_state,knowledge_state_format,relocation_verb_tense
47,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura leaves to go and make a coffee. Laura doesn't see Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK].","Laura is away while Ross takes her stapler, and puts it back in the cabinet instead of the drawer.",Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,End,Start,Knowledge Cue + State,False Belief,Implicit,present
48,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura leaves to go and make a coffee. Laura doesn't see Ross take the stapler, and put it back in the cabinet instead of the drawer. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK].",Laura doesn't see Ross take her stapler and put it back in the cabinet instead of the drawer.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,End,Start,Knowledge Cue + State,False Belief,Explicit,present
49,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK]. ","While David is gone, Marta moves his wine into the fridge from the garage.",David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,End,Start,Knowledge Cue + State,False Belief,Implicit,present
50,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK]. ",David doesn’t see Marta move his wine into the fridge from the garage.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,End,Start,Knowledge Cue + State,False Belief,Explicit,present
51,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK]. ",Sarah is outside when James moves her painting to the bedroom from the hall. ,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,End,Start,Knowledge Cue + State,False Belief,Implicit,present
52,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting to the bedroom from the hall. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK]. ",Sarah doesn't see James move her painting to the bedroom from the hall.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,End,Start,Knowledge Cue + State,False Belief,Explicit,present
53,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK]. ","While Lisa is away, Robert moves her grater to the drawer from the cupboard.",Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,End,Start,Knowledge Cue + State,False Belief,Implicit,present
54,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater to the drawer from the cupboard. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK]. ",Lisa doesn’t see Robert move her grater to the drawer from the cupboard.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,End,Start,Knowledge Cue + State,False Belief,Explicit,present
55,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK]. ","While John is away, Karen puts his shovel away in the van instead of the toolbox. ",John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,End,Start,Knowledge Cue + State,False Belief,Implicit,present
56,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen uses the shovel to tidy up some edges. When Karen is finished, she puts the shovel away in the van instead of the toolbox. Then, John returns from the office. He needs to use the shovel again. John thinks the shovel is in the [MASK]. ",John doesn't see Karen put his shovel away in the van instead of the toolbox.,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,End,Start,Knowledge Cue + State,False Belief,Explicit,present
57,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. Patrick doesn't see Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ","While Patrick is gone, Nicole places his ticket in the backpack after taking it out of the suitcase.",Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,End,Start,Knowledge Cue + State,False Belief,Implicit,present
58,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. Patrick doesn't see Nicole place the ticket in the backpack after taking it out of the suitcase. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ",Patrick doesn’t see Nicole place his ticket in the backpack after taking it out of the suitcase. ,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,End,Start,Knowledge Cue + State,False Belief,Explicit,present
59,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. Meanwhile, Martin puts the saddle in the hut instead of the stable. When Hannah finishes her bath, she wants to use the saddle again. Hannah thinks the saddle is in the [MASK]. ",Hannah is away when Martin puts her saddle in the hut instead of the stable.,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,End,Start,Knowledge Cue + State,False Belief,Implicit,present
60,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. Meanwhile, Martin puts the saddle in the hut instead of the stable. When Hannah finishes her bath, she wants to use the saddle again. Hannah thinks the saddle is in the [MASK]. ",Hannah doesn’t see when Martin puts her saddle in the hut instead of the stable. ,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,End,Start,Knowledge Cue + State,False Belief,Explicit,present
61,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean leaves to get something to eat in the kitchen. While he is away, Anna moves the book from the box to the basket. Sean comes back into the room and wants to read more of his book. Sean goes to get the book from the [MASK]. ","While Sean is away, Anna moves his book from the box to the basket.",Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,Start,End,Knowledge Cue + State,False Belief,Implicit,present
62,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean leaves to get something to eat in the kitchen. While he is away, Anna moves the book from the box to the basket. Sean comes back into the room and wants to read more of his book. Sean goes to get the book from the [MASK]. ",Sean doesn't see Anna move his book from the box to the basket.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,Start,End,Knowledge Cue + State,False Belief,Explicit,present
63,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary goes out of the kitchen to get something from her room. While she is away, James moves the jam out of the cupboard and into the fridge. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK].","While Mary is away, James moves her jam out of the cupboard and into the fridge.",Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,Start,End,Knowledge Cue + State,False Belief,Implicit,present
64,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary goes out of the kitchen to get something from her room. While she is away, James moves the jam out of the cupboard and into the fridge. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK]. ",Mary doesn't see James move her jam out of the cupboard and into the fridge.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,Start,End,Knowledge Cue + State,False Belief,Explicit,present
65,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Then he goes to his room to get changed. Cameron doesn't see Helen move the shirt from the sink to the basket. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK].","While Cameron is away, Helen moves his shirt from the sink to the basket.",Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,Start,End,Knowledge Cue + State,False Belief,Implicit,present
66,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Then he goes to his room to get changed. Cameron doesn't see Helen move the shirt from the sink to the basket. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK].",Cameron doesn't see Helen move his shirt from the sink to the basket.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,Start,End,Knowledge Cue + State,False Belief,Explicit,present
67,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Then Paula goes to run some errands. Paula is away while Tim moves the football out of the shed and into the garage. Paula gets back and wants to play catch again. Paula thinks the football is in the [MASK].",Paula is away while Tim moves her football out of the shed and into the garage.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,Start,End,Knowledge Cue + State,False Belief,Implicit,present
68,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Then Paula goes to run some errands. Paula is away while Tim moves the football out of the shed and into the garage. Paula gets back and wants to play catch again. Paula thinks the football is in the [MASK].",Paula doesn't see Tim move her football out of the shed and into the garage.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,Start,End,Knowledge Cue + State,False Belief,Explicit,present
69,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Afterwards, Ed goes to the bathroom. Ed doesn't see Seana move the keys from the hall to the study. When Ed gets back from the bathroom, he realizes he needs his keys. Ed thinks the keys are in the [MASK].",Ed is away while Seana moves his keys from the hall to the study.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,Start,End,Knowledge Cue + State,False Belief,Implicit,present
70,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Afterwards, Ed goes to the bathroom. Ed doesn't see Seana move the keys from the hall to the study. When Ed gets back from the bathroom, he realizes he needs his keys. Ed thinks the keys are in the [MASK].",Ed doesn't see Seana move his keys from the hall to the study.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,Start,End,Knowledge Cue + State,False Belief,Explicit,present
71,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura leaves to go and make a coffee. Laura doesn't see Ross take the stapler out of the drawer and put it in the cabinet. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK].",Laura is away while Ross takes her stapler out of the drawer and puts it in the cabinet.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,Start,End,Knowledge Cue + State,False Belief,Implicit,present
72,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura leaves to go and make a coffee. Laura doesn't see Ross take the stapler out of the drawer and put it in the cabinet. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK].",Laura doesn't see Ross take her stapler out of the drawer and put it in the cabinet.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,Start,End,Knowledge Cue + State,False Belief,Explicit,present
73,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK]. ","While David is gone, Marta moves his wine out of the garage and into the fridge.",David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,Start,End,Knowledge Cue + State,False Belief,Implicit,present
74,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK]. ",David doesn't watch as Marta moves his wine out of the garage and into the fridge.,David knows the wine is in the,David understands the wine is in the,David recognizes the wine is in the,David assumes the wine is in the,David believes the wine is in the,David suspects the wine is in the,David thinks the wine is in the,David goes to get the wine from the,garage,fridge,Start,End,Knowledge Cue + State,False Belief,Explicit,present
75,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK]. ",Sarah is outside when James moves her painting from the hall to the bedroom.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,Start,End,Knowledge Cue + State,False Belief,Implicit,present
76,"Sarah is an artist who has just finished a new painting. She wants to display the new painting, and so she moves the painting to the hall, then grabs a book from the bedroom. She goes outside to read in the garden. Meanwhile, James sees the painting and decides it would look better elsewhere. James moves the painting from the hall to the bedroom. When Sarah gets back from reading, she goes to have a look at her painting. Sarah thinks the painting is in the [MASK]. ",Sarah doesn't see James move her painting from the hall to the bedroom.,Sarah knows the painting is in the,Sarah understands the painting is in the,Sarah recognizes the painting is in the,Sarah assumes the painting is in the,Sarah believes the painting is in the,Sarah suspects the painting is in the,Sarah thinks the painting is in the,Sarah goes to get the painting from the,hall,bedroom,Start,End,Knowledge Cue + State,False Belief,Explicit,present
77,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK]. ","While Lisa is away, Robert moves her grater from the cupboard to the drawer.",Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,Start,End,Knowledge Cue + State,False Belief,Implicit,present
78,"Lisa is cooking dinner in the kitchen. She uses the grater and puts it away in the cupboard, then takes out the spatula from the drawer. She briefly leaves the kitchen, and while she is away, Robert moves the grater from the cupboard to the drawer. Lisa comes back and realizes she needs to use the grater again. Lisa thinks the grater is in the [MASK]. ",Lisa doesn’t see Robert move her grater from the cupboard to the drawer.,Lisa knows the grater is in the,Lisa understands the grater is in the,Lisa recognizes the grater is in the,Lisa assumes the grater is in the,Lisa believes the grater is in the,Lisa suspects the grater is in the,Lisa thinks the grater is in the,Lisa goes to get the grater from the,cupboard,drawer,Start,End,Knowledge Cue + State,False Belief,Explicit,present
79,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK]. ","While John is away, Karen takes his shovel out of the toolbox and puts it away in the van.",John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,Start,End,Knowledge Cue + State,False Belief,Implicit,present
80,"John and Karen are working on a building site. John is using a shovel to spread cement. When he is done, he leaves the shovel in the toolbox, then grabs his phone from the van. John goes to the office to talk to the boss. While John is away, Karen takes the shovel out of the toolbox to tidy up some edges. When Karen is finished, she puts the shovel away in the van. Then, John returns from the office. He needs to use the shovel again. John goes to get the shovel from the [MASK]. ",John doesn't see Karen take his shovel out of the toolbox and put it away in the van.,John knows the shovel is in the,John understands the shovel is in the,John recognizes the shovel is in the,John assumes the shovel is in the,John believes the shovel is in the,John suspects the shovel is in the,John thinks the shovel is in the,John goes to get the shovel from the,toolbox,van,Start,End,Knowledge Cue + State,False Belief,Explicit,present
81,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. Patrick doesn't see Nicole take the ticket out of the suitcase and place it in the backpack. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ","While Patrick is gone, Nicole takes his ticket out of the suitcase and places it in the backpack.",Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,Start,End,Knowledge Cue + State,False Belief,Implicit,present
82,"Patrick and Nicole are sitting at the train station, waiting for their train. Patrick takes out the ticket to check it and puts it away in the suitcase, then grabs his camera from the backpack. Then he gets up to take photos of the trains. Patrick doesn't see Nicole take the ticket out of the suitcase and place it in the backpack. Patrick comes back to sit at the table with Nicole. He wants to check the ticket one more time. Patrick thinks the ticket is in the [MASK]. ",Patrick doesn’t see Nicole take his ticket out of the suitcase and place it in the backpack.,Patrick knows the ticket is in the,Patrick understands the ticket is in the,Patrick recognizes the ticket is in the,Patrick assumes the ticket is in the,Patrick believes the ticket is in the,Patrick suspects the ticket is in the,Patrick thinks the ticket is in the,Patrick goes to get the ticket from the,suitcase,backpack,Start,End,Knowledge Cue + State,False Belief,Explicit,present
83,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. Meanwhile, Martin takes the saddle from the stable and puts it in the hut. When Hannah finishes her bath, she wants to use the saddle again. Hannah thinks the saddle is in the [MASK]. ",Hannah is away when Martin takes her saddle from the stable and puts it in the hut.,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,Start,End,Knowledge Cue + State,False Belief,Implicit,present
84,"Hannah has just come back from a ride and is putting her horse away. She puts the saddle in the stable, then puts her backpack in the hut. Then she goes inside to have a bath. Meanwhile, Martin takes the saddle from the stable and puts it in the hut. When Hannah finishes her bath, she wants to use the saddle again. Hannah thinks the saddle is in the [MASK]. ",Hannah doesn't see when Martin takes her saddle from the stable and puts it in the hut.,Hannah knows the saddle is in the,Hannah understands the saddle is in the,Hannah recognizes the saddle is in the,Hannah assumes the saddle is in the,Hannah believes the saddle is in the,Hannah suspects the saddle is in the,Hannah thinks the saddle is in the,Hannah goes to get the saddle from the,stable,hut,Start,End,Knowledge Cue + State,False Belief,Explicit,present
85,"Sean is reading a book. When he is done, he puts the book in the box and picks up a sweater from the basket. Then, Anna comes into the room. Sean watches Anna move the book from the box to the basket. Sean leaves to get something to eat in the kitchen. Sean comes back into the room and wants to read more of his book. Sean thinks the book is in the [MASK]. ",Sean watches Anna move his book from the box to the basket.,Sean knows the book is in the,Sean understands the book is in the,Sean recognizes the book is in the,Sean assumes the book is in the,Sean believes the book is in the,Sean suspects the book is in the,Sean thinks the book is in the,Sean goes to get the book from the,box,basket,Start,End,Knowledge Cue + State,True Belief,Explicit,present
86,"Mary is feeling hungry and decides to make a sandwich. She gets out the jam and puts some on her sandwich. When she has finished eating, she puts the jam away in the cupboard and gets a soda out of the fridge. Then, James walks into the kitchen. Mary watches James move the jam out of the cupboard and into the fridge. Mary goes out of the kitchen to get something from her room. Mary comes back into the kitchen and decides to make another sandwich. Mary thinks the jam is in the [MASK]. ",Mary watches James move her jam out of the cupboard and into the fridge.,Mary knows the jam is in the,Mary understands the jam is in the,Mary recognizes the jam is in the,Mary assumes the jam is in the,Mary believes the jam is in the,Mary suspects the jam is in the,Mary thinks the jam is in the,Mary goes to get the jam from the,cupboard,fridge,Start,End,Knowledge Cue + State,True Belief,Explicit,present
87,"While Cameron is eating, he gets a stain on his shirt. He puts his shirt in the sink and picks up a sweater from the basket. Cameron sees Helen move the shirt from the sink to the basket. Then he goes to his room to get changed. When Cameron comes back into the room he wants to wash the stain off his shirt. Cameron thinks the shirt is in the [MASK]. ",Cameron sees Helen move his shirt from the sink to the basket.,Cameron knows the shirt is in the,Cameron understands the shirt is in the,Cameron recognizes the shirt is in the,Cameron assumes the shirt is in the,Cameron believes the shirt is in the,Cameron suspects the shirt is in the,Cameron thinks the shirt is in the,Cameron goes to get the shirt from the,sink,basket,Start,End,Knowledge Cue + State,True Belief,Explicit,present
88,"Paula and Tim are playing catch with a football in the yard. After a while they get bored. Paula puts the football in the shed, and gets a bottle of water from the garage. Afterwards, Paula sees Tim move the football out of the shed and into the garage. Then Paula goes to run some errands. Paula gets back and wants to play catch again. Paula thinks the football is in the [MASK]. ",Paula sees Tim move her football out of the shed and into the garage.,Paula knows the football is in the,Paula understands the football is in the,Paula recognizes the football is in the,Paula assumes the football is in the,Paula believes the football is in the,Paula suspects the football is in the,Paula thinks the football is in the,Paula goes to get the football from the,shed,garage,Start,End,Knowledge Cue + State,True Belief,Explicit,present
89,"Ed arrives home after a long day at work. He puts his keys in the hall and leaves his bag in the study. Seana arrives home a few minutes later. Ed watches as Seana moves the keys from the hall to the study. Afterwards, Ed goes to the bathroom. When Ed gets back from the bathroom, he realizes he needs his keys. Ed thinks the keys are in the [MASK]. ",Ed watches as Seana moves his keys from the hall to the study.,Ed knows the keys are in the,Ed understands the keys are in the,Ed recognizes the keys are in the,Ed assumes the keys are in the,Ed believes the keys are in the,Ed suspects the keys are in the,Ed thinks the keys are in the,Ed goes to get the keys from the,hall,study,Start,End,Knowledge Cue + State,True Belief,Explicit,present
90,"Laura is in the study, using the stapler. When she is finished, she puts the stapler away in a drawer and the documents away in a cabinet. Then Ross wanders into the study. Laura watches Ross take the stapler out of the drawer and put it in the cabinet. Laura leaves to go and make a coffee. Laura comes back into the study and remembers she has one more document to staple together. Laura thinks the stapler is in the [MASK]. ",Laura watches Ross take her stapler out of the drawer and put it in the cabinet.,Laura knows the stapler is in the,Laura understands the stapler is in the,Laura recognizes the stapler is in the,Laura assumes the stapler is in the,Laura believes the stapler is in the,Laura suspects the stapler is in the,Laura thinks the stapler is in the,Laura goes to get the stapler from the,drawer,cabinet,Start,End,Knowledge Cue + State,True Belief,Explicit,present
