layer,correct_prob,distractor_prob,log_odds,is_correct,item,item_id,condition,knowledge_cue,first_mention,recent_mention,question_id,question,correct_answer,distractor_answer,model_path,model_shorthand,n_layers,revision,stage,ingredient,step,tokens_seen
21,0.16504001554080136,0.0009749516919735544,7.4032694105268835,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,0.11402798497472973,0.0035180280478332624,5.018477141817273,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,0.15113316266190288,0.0028339612607095003,5.736856413690513,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,0.8348683674331623,0.0007486307614805692,10.123078702139887,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,0.6698656173682263,0.0020958428891302105,8.32019732135906,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,0.7198020668168271,0.00040823170042565704,10.78399631308757,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,0.825556936253676,0.00039455562163648203,11.030923306271081,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,0.8563003044188408,0.025020046219679588,5.096960478633936,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,0.14527124804601566,0.8329305102692578,-2.5194469451159005,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,0.1592860278169948,0.8371948055303924,-2.393943637544671,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,0.6743092448927442,0.3138258485345967,1.1034461913806077,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,0.98573619096511,0.0092739993632179,6.731866157091998,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,0.9662739638924118,0.026971091707086163,5.162946465023966,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,0.9555149083698157,0.029874982848191758,4.999268593022888,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.9930769210491681,0.0013529610878729775,9.519641312136102,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
36,0.9461250921534358,0.045406461571969405,4.381061422313366,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
37,0.9281675142678152,0.05679185128961802,4.030629357936994,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
38,0.8976264034798751,0.07202317437543374,3.6395820212176804,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
39,0.8616819297423846,0.07429111848739584,3.5358937777527344,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
40,0.7479133675224617,0.1899188651996386,1.9774879494500188,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,2,"At the end of the story, the wine was in the",fridge,garage,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
0,1.106971020485773e-11,2.0601911907540638e-16,15.713479699350339,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,9.159948617459778e-10,1.6073570598423646e-15,19.120289533736543,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,2.091560545302569e-09,2.2765560877671836e-14,16.487367231702805,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,4.7051587525158665e-09,9.776216568605003e-14,15.554607629928105,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,5.020688604419078e-08,3.6986565654272754e-12,13.728596280934907,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,3.69868525711337e-08,8.96373403415415e-11,8.688696980126162,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,7.4047710620707e-08,2.7223721784067e-10,8.08744700857099,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,6.728481153084417e-07,4.309086675227281e-09,7.286754948185649,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,8.985800285651626e-07,5.995954281908367e-09,7.227513804269447,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,2.602762108416538e-08,1.0501031480053676e-09,4.631440505009574,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
10,6.275627504710428e-08,1.0513031107065235e-08,2.5775810367084997,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,1.483391058491881e-08,1.3563229629738089e-09,3.4511263238605325,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,5.7314008643586806e-08,4.756559730484289e-11,10.234753594183672,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,1.4102586696157295e-07,5.828359036814517e-11,11.24058243293455,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,1.8732883015447648e-07,1.884942773621599e-10,9.956836509695409,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,6.766185306098891e-08,4.02386573247894e-10,7.393616712264557,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
16,3.2186199672546425e-08,6.457640891422468e-11,8.96121931282216,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
17,3.801484857899795e-08,1.2272155638188492e-10,8.275030549658865,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
18,6.026320348068451e-08,1.0904624706353273e-10,9.11019343672194,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
19,5.751100915126015e-08,1.372710091900997e-09,5.388739278790418,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
20,4.930054337008488e-08,1.1450040174451453e-08,2.106250887198714,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
21,1.8575255886533e-08,1.2651093998483986e-10,7.197976127949061,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,3.769058859726393e-09,2.1476586052553784e-10,4.133367741221225,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,5.912023854331446e-09,4.086883420607623e-11,7.176507189676554,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,9.742210291032842e-08,3.7288781717860666e-10,8.029363651860395,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,7.579979780423152e-08,5.930288401471127e-10,6.997947922244752,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,1.8090473728613087e-07,2.195067068944698e-10,9.686749451335627,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,5.584456807403174e-07,4.751579466222513e-10,10.19879408568007,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,1.4726363818486407e-06,9.868475874562606e-10,10.543286342247931,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,1.3444423372953576e-06,4.085804201543199e-09,8.36217209505924,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,3.038801988145821e-06,2.4788617051766102e-08,6.937681073798803,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,0.030907907511899677,2.2116854294319105e-06,13.770542161549741,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,0.020741387476513485,3.461037409676414e-06,12.549020249323368,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,0.014426947392050221,3.5432318127294855e-06,11.991412595251141,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,0.03442992257720872,2.617666885818669e-06,13.683093799100227,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.0037062296967674126,0.39134561853824024,-6.7223471860896336,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
36,0.017699586172234986,0.8298281812805431,-5.551025117840954,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
37,0.038014674603720704,0.9259389392552918,-4.6062887114408895,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
38,0.6599259426476044,0.07535436631542262,3.130541118769803,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
39,0.5170949055925402,0.07393024013193371,2.8061925870337348,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
40,0.27014336336754047,0.15660059283992295,0.7866355653795994,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,3,The person who put the wine in the garage was,David,Marta,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
0,2.0601911907540638e-16,1.106971020485773e-11,-15.713479699350339,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
1,1.3028398625557649e-15,6.308359825603779e-10,-18.885245660316567,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
2,2.5236287166212543e-14,2.0129462706325883e-09,-16.283449466366584,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
3,2.042875534208501e-13,6.0331832801245546e-09,-14.850030481734557,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
4,1.8286669808934044e-11,1.3041156095511796e-07,-12.799991780005051,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
5,1.8468124900258677e-10,5.301134267946458e-08,-8.165119877145461,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
6,4.113051362738831e-10,1.0806107013542697e-07,-8.037422070949223,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
7,4.440109224657645e-09,5.521828282958043e-07,-6.958407047019582,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
8,1.5946184551723568e-08,1.116249794703591e-06,-6.129304828572913,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
9,1.8936480825896214e-09,4.7415034402436996e-08,-4.646104433752741,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
10,1.4933867050757285e-08,9.207708551167249e-08,-2.624254376430252,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
11,1.5781950980248803e-09,2.0094028206776843e-08,-3.670419338183889,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
12,6.833877929120267e-11,7.633953545353515e-08,-10.125510214355618,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
13,3.0426539710472334e-11,1.0921668174231257e-07,-11.809575338493895,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
14,1.3857376406674153e-10,1.710339551033647e-07,-10.269412913846754,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
15,2.7321073311880987e-10,3.470387482691643e-08,-6.988938783061955,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
16,3.7775042514650915e-11,1.5829032877479857e-08,-8.710924017923672,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
17,1.2657972931339e-10,3.549129620753898e-08,-8.131275067316867,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
18,4.35823848296018e-11,6.923167008542687e-08,-10.633471292637974,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
19,3.020031328368333e-10,3.849223826975507e-08,-6.993860238599045,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
20,5.551115972180905e-09,4.535987195065315e-08,-3.0305668287466547,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
21,8.097935286363387e-11,1.4783661856339313e-08,-7.51223383449524,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
22,1.5868465691866225e-10,3.118491270698697e-09,-4.296613673420203,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
23,6.448256025981173e-11,5.413146677586915e-09,-6.391414643655074,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
24,3.1906376276517016e-10,4.161685791995508e-08,-7.027179469446602,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
25,5.29063888770229e-10,3.0877099707262804e-08,-5.86695148605713,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
26,2.4544791177042166e-10,6.948672911048227e-08,-8.14517676895141,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
27,4.923814161574827e-10,1.488340085106128e-07,-8.239712192477679,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
28,1.458727702704632e-09,2.2415408111852449e-07,-7.263636352326067,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
29,5.793990991838603e-09,1.923331251476341e-07,-5.0529060047281975,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
30,1.8853133008813895e-07,4.399480973968843e-07,-1.2225290426298268,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
31,2.4724183117894873e-05,0.0002617937926834034,-3.404436129838995,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
32,2.717509629700818e-05,0.00015063633347689947,-2.4707127372888587,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
33,2.570399560509855e-05,0.0001410972469504241,-2.4566252943913844,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
34,1.6789134560887787e-05,0.0005077585432923238,-4.918542838915119,False,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
35,0.5100129806495658,6.097950243210334e-06,16.35185006230244,True,7,7_fb_1_s_s_im,False Belief,Implicit,Start,Start,4,The person who put the wine in the fridge was,Marta,David,allenai/OLMo-2-1124-13B,OLMO 2 13B,41,stage1-step596057-tokens5001B,stage1,,596057,5001B
